L26_V194,4707,5617,5632,6296
L26_V082,2560,2592,2659,2688
L26_V208,3994,4608,4690,4736
L26_V272,391,488,640,2044
L26_V311,2432,2606,4067,4096
L26_V416,0,1732,2838,5889
L26_V437,3765,4352,5882,6172
L26_V339,61,1792,1807,4407
L26_V415,2327,4243,4321,4352
L26_V370,4433,4699,4736,4776
L26_V330,768,3763,5872,6592
L26_V306,1408,4391,4457,4926
L26_V326,61,78,128,300
L26_V392,0,2567,3181,6141
L26_V248,896,3840,3931,3968
L26_V346,61,851,3840,3868
L26_V343,61,1280,4233,4290
L26_V383,0,1396,4352,4425
L26_V489,496,3472,4576,5016
L26_V313,4352,4382,6261,6581
L26_V428,768,3720,4583,4601
L26_V177,1536,4484,5376,5426
L26_V427,387,438,512,1058
L26_V216,2379,5360,5376,5424
L26_V241,1747,4736,4761,5928
L26_V480,1588,4588,4769,4836
L26_V077,0,2077,3845,3902
L26_V408,2773,5764,5970,6078
L26_V052,1888,4840,4864,5120
L26_V495,1364,4340,4720,4783
L26_V471,3120,6101,6337,6695
L26_V432,3200,3257,3304,4021
L26_V292,896,3840,4823,4848
L26_V435,2304,5292,5376,6183
L26_V487,2435,2480,3752,4340
L26_V448,1408,4404,4608,5561
L26_V204,3301,3868,3911,3949
L26_V314,1408,4347,6588,6636
L26_V361,0,1210,4180,4224
L26_V161,1210,4160,4224,4309
L26_V308,1152,4032,4356,4480
L26_V452,0,384,448,1035
L26_V404,0,2844,2916,2944
L26_V298,0,2218,2612,4989
L26_V482,3808,6797,6820,6938
L26_V456,2688,5171,5248,5347
L26_V470,3596,3640,4719,4755
L26_V316,1152,4096,4386,5451
L26_V367,3711,5423,5504,5517
L26_V443,1664,4540,5134,5174
L26_V376,1536,4480,4815,4864
L26_V243,300,3264,3328,3371
L26_V405,1920,4834,4864,4909
L26_V422,730,3726,3813,3840
L26_V496,1964,4935,4994,5007
L26_V445,0,768,1792,4720
L26_V360,61,78,3012,5986
L26_V498,4596,4820,4836,5905
L26_V378,61,78,2723,3072
L26_V225,3584,4957,4992,5032
L26_V393,34,78,1053,4033
L26_V075,0,2102,5057,6448
L26_V414,61,384,430,470
L26_V395,61,2816,2869,2918
L26_V351,1977,4602,4640,5265
L26_V441,2816,2839,5595,5632
L26_V335,61,2653,2688,3763
L26_V106,0,2653,2688,2713
L26_V475,34,1071,4029,4074
L26_V375,61,2593,5584,5632
L26_V303,2674,5585,6058,6095
L26_V033,0,2737,5429,5455
L26_V468,0,1966,3495,6464
L26_V433,0,21,924,3902
L26_V439,0,1869,4833,4864
L26_V429,1396,4385,4437,4475
L26_V384,0,616,3584,6530
L26_V197,0,512,3456,3503
L26_V109,0,2304,2351,2417
L26_V391,1920,4864,5115,5182
L26_V381,0,2218,2613,2688
L26_V385,300,3261,4101,4154
L26_V073,0,21,1488,4483
L26_V061,3918,3968,4029,5073
L26_V466,1792,4748,6111,6144
L26_V158,0,893,3776,6731
L26_V074,413,3386,3460,3495
L26_V087,0,2688,2816,2842
L26_V478,2480,5369,5447,5520
L26_V409,2021,4992,5654,5707
L26_V491,1612,4588,5750,5793
L26_V084,1536,4480,5760,5833
L26_V402,256,3229,3328,3343
L26_V205,2176,5152,5195,6165
L26_V273,3734,3785,3825,6016
L26_V295,2116,5092,5120,5169
L26_V180,601,3521,3744,3774
L26_V163,1842,4794,4864,4965
L26_V374,0,1964,1993,2037
L26_V138,1522,4480,4724,4814
