L30_V057,4664
L30_V057,4464
L30_V057,2914
L30_V057,2938
L30_V057,4344
L30_V057,3082
L30_V057,3920
L30_V057,4064
L30_V057,3226
L30_V057,2026
L30_V057,4337
L30_V057,569
L25_V080,7350
L25_V080,7200
L30_V057,4194
L30_V057,1902
L30_V057,3107
L30_V057,1973
L30_V037,2634
L30_V037,2659
L25_V081,47700
L25_V081,46800
L29_V015,26058
L25_V081,46950
L25_V054,60750
L25_V045,32250
L25_V054,60600
L30_V037,2635
L25_V080,9300
L22_V012,28362
L25_V081,48150
L25_V045,32100
L25_V045,6600
L25_V081,48450
L30_V057,803
L25_V054,60150
L25_V054,50850
L25_V081,20250
L25_V081,20400
L25_V081,20100
L25_V054,52200
L25_V081,20700
L25_V045,7500
L25_V081,48000
L25_V036,39450
L25_V054,60300
L30_V052,3231
L25_V081,47400
L22_V006,32282
L25_V081,45900
L25_V081,45450
L25_V036,38850
L30_V057,4074
L30_V057,2112
L25_V045,7650
L25_V081,46500
L25_V081,47100
L25_V045,19950
L25_V054,60450
L25_V045,19500
L25_V045,19350
L25_V081,21900
L25_V081,47550
L25_V036,39750
L25_V054,54150
L25_V081,45600
L22_V006,7145
L25_V045,8400
L25_V045,11400
L25_V054,50550
L25_V081,48300
L25_V045,12000
L25_V045,7800
L25_V080,4350
L25_V045,7350
L25_V045,6900
L25_V081,46350
L25_V036,39900
L25_V081,46200
L25_V045,19200
L25_V045,6450
L25_V045,13050
L25_V056,21300
L25_V036,39600
L25_V081,47850
L25_V081,45300
L25_V081,21450
L25_V054,52350
L29_V006,20385
L25_V081,21300
L25_V081,47250
L25_V045,12450
L25_V081,46650
L25_V045,8250
L25_V054,53700
L25_V081,22200
L25_V045,19650
L25_V081,22050
L25_V081,46050
L25_V045,7200
