L24_V029,1976,2330,3143,5972
L24_V016,1226,1240,3100,5423
L24_V015,3968,5574,7370,10292
L24_V038,303,1976,5168,7296
L24_V032,3608,4335,4960,6324
L24_V011,13888,14012,14136,14756
L24_V018,1364,1612,3596,5912
L24_V025,953,1029,1976,5474
L24_V031,759,912,1215,4598
L24_V035,9963,11856,15320,15660
L24_V036,0,1824,2432,5649
L24_V033,10307,13832,16872,16992
L24_V024,10944,11096,11235,12464
L24_V023,0,912,1064,1368
L24_V039,812,893,912,1976
L24_V037,2280,2418,3513,5346
L24_V007,248,1364,1488,1612
L24_V014,450,744,868,3611
L24_V008,4241,5680,6695,7392
L24_V022,3344,3800,5472,9576
L24_V028,1520,1671,3231,5048
L24_V043,1305,4879,5332,8236
L24_V042,0,1365,1796,3779
L24_V027,6536,6687,9423,10101
L24_V019,1671,1824,1976,4863
L24_V005,0,1860,2232,5478
L24_V021,456,1671,2736,6231
L24_V006,7665,10664,13640,13888
L24_V009,0,124,780,1240
L24_V026,0,124,1240,1364
L24_V013,9300,12276,12400,12445
L24_V030,2432,5928,6536,9597
L24_V010,0,124,992,2751
L24_V020,0,2006,4256,6213
L24_V017,912,1002,1064,1277
L24_V044,0,660,681,735
L24_V045,272,560,608,657
L24_V040,0,119,608,636
L24_V003,0,66,1664,4622
L22_V021,7419,10925,11124,11189
L24_V041,0,945,1028,1065
