L26_V004,5393
L26_V004,540
L26_V004,5400
L26_V004,476
L26_V004,6075
L26_V004,6052
L26_V004,5940
L26_V004,4803
L26_V004,5833
L26_V102,6659
L26_V004,5130
L26_V004,361
L26_V004,5199
L26_V004,5057
L26_V004,300
L26_V102,6528
L26_V102,5734
L26_V004,405
L26_V004,5138
L26_V004,5249
L26_V114,1401
L26_V102,7381
L26_V102,6490
L26_V004,4995
L26_V114,1488
L26_V004,4848
L26_V102,7423
L26_V004,5611
L26_V004,5265
L26_V252,6836
L26_V004,4860
L26_V135,8064
L26_V004,6165
L26_V069,6631
L26_V023,4995
L26_V023,4976
L26_V102,7295
L26_V032,6329
L26_V114,8059
L26_V400,1691
L26_V004,4910
L26_V472,6897
L26_V004,5805
L26_V102,8064
L26_V102,7283
L26_V400,1792
L26_V492,300
L26_V004,7355
L26_V150,1664
L26_V150,1507
L26_V265,300
L26_V078,6476
L26_V288,7168
L26_V498,496
L26_V304,1664
L26_V252,6272
L26_V150,1657
L26_V491,6944
L26_V472,6931
L26_V434,5804
L26_V056,6300
L26_V318,3678
L26_V434,5888
L26_V090,7680
L27_V011,360
L26_V491,6931
L26_V102,384
L26_V252,6727
L27_V014,360
L26_V442,6528
L26_V491,6820
L26_V493,1912
L26_V492,496
L26_V252,6252
L26_V059,7936
L27_V005,360
L27_V012,360
L26_V150,1536
L26_V096,6388
L27_V008,360
L26_V485,4443
L26_V032,6345
L26_V114,6631
L27_V002,360
L26_V004,6210
L27_V009,360
L26_V133,6784
L26_V492,5354
L26_V492,440
L27_V007,360
L27_V016,360
L26_V498,955
L26_V415,3328
L27_V004,360
L26_V363,2176
L27_V001,360
L26_V304,3968
L27_V006,360
L27_V010,360
L26_V078,6572
