L26_V358,4754,4964,4992,5087
L26_V461,3601,3639,3774,4162
L26_V329,0,1630,2873,4716
L26_V214,0,1408,2584,2816
L26_V495,0,2108,2140,3895
L26_V428,0,2048,3074,3740
L26_V437,0,1939,1968,4898
L26_V249,0,2054,2688,5621
L26_V232,0,21,2159,3227
L26_V306,0,2919,2944,4391
L26_V372,723,759,3354,4511
L26_V323,0,512,911,3897
L26_V377,2357,5333,5376,5465
L26_V072,2466,2614,3720,3738
L26_V198,1426,1477,1558,1588
L26_V230,3868,4108,4348,4405
L26_V333,1864,1982,2105,2147
L26_V183,0,2242,2845,2895
L26_V142,1495,2329,2760,2816
L26_V427,3840,3979,4202,4224
L26_V332,4117,4332,4383,4435
L26_V238,1780,2169,4411,4462
L26_V462,2656,3461,3511,3536
L26_V056,0,2304,2492,3761
L26_V425,224,3190,3258,4548
L26_V420,1939,2070,2096,2142
L26_V374,0,21,2235,3217
L26_V172,0,1536,3025,4736
L26_V063,2232,2356,2419,4859
L26_V497,3100,3224,3497,3934
L26_V379,3109,3145,3252,3411
L26_V424,2992,3072,5443,5491
L26_V385,2396,2432,2890,4101
L26_V097,0,1387,1664,3550
L26_V439,1014,3968,4010,4631
L26_V416,0,1532,2783,5721
L26_V039,2138,2160,2233,2295
L26_V260,0,300,2152,2176
L26_V364,357,3328,4033,4078
L26_V307,0,2646,2701,2816
L26_V286,2560,5504,5608,5632
L26_V391,0,128,3107,4760
L26_V398,0,2600,2629,2671
L26_V390,3381,3472,3527,4320
L26_V339,0,300,2204,5193
L26_V380,0,21,2902,3243
L26_V164,3779,3968,4036,4096
L26_V496,2147,2199,2502,3840
L26_V241,369,3306,6281,6329
L26_V341,2352,2410,2432,2548
L26_V433,2306,2439,2476,2552
L26_V162,0,2226,4032,4067
L26_V151,0,1839,1901,3833
L26_V059,372,3347,3403,3472
L26_V256,2795,2816,2919,5859
L26_V085,224,3200,4903,4967
L26_V378,0,21,2304,2348
L26_V292,0,559,2077,2146
L26_V227,2193,2758,2816,2914
L26_V207,0,1882,4333,4352
L26_V115,0,2737,2855,2944
L26_V258,4717,4736,4749,4790
L26_V163,2858,2944,3042,3072
L26_V027,405,3375,3390,3489
L26_V421,2275,2389,2432,2460
L26_V219,0,2481,2919,2944
L26_V119,0,1490,1536,1556
L26_V369,453,3433,3456,3499
L26_V484,224,3192,3224,6015
L26_V431,0,21,1732,3072
L26_V095,0,21,2397,2432
L26_V387,0,2508,2560,2628
L26_V395,2279,2417,2432,2486
L26_V451,1854,3928,3968,4018
L26_V179,2391,2432,2485,2522
L26_V127,0,2176,2403,2432
L26_V386,0,2681,2793,2816
L26_V482,0,455,3439,5704
L26_V280,3328,6313,6400,6433
L26_V457,3968,4046,4574,4608
L27_V002,4567,7559,7695,7811
L26_V293,0,2304,2327,3704
L26_V071,0,2454,2507,2560
L26_V251,434,3429,3940,3968
L26_V233,0,21,2595,2646
L26_V469,0,21,2438,3925
L26_V157,1707,1787,2125,2176
L26_V261,0,2278,2304,2336
L26_V435,0,1835,1860,3456
L26_V491,0,2068,2604,5585
L26_V303,0,256,3200,3229
L26_V308,0,2560,2611,4096
L26_V175,0,21,1973,1996
L26_V356,0,2816,2846,4736
L26_V195,0,2272,2944,5922
L26_V034,300,3296,3375,3488
L26_V440,451,3407,3456,3909
L29_V010,11016,13971,14040,14110
L26_V314,0,2176,2304,3810
L26_V212,0,21,2127,4509
